33381;0;19;44;76;107
33698;9;19;45;53;110
2615;19;19;19;19;19
28816;0;18;18;55;113
36159;15;15;15;15;30
36629;14;14;19;108;175
26689;0;14;24;53;53
33646;0;12;12;12;34
27542;11;11;11;40;57
26275;4;10;10;10;22
2392;0;8;19;19;41
26267;4;8;8;8;26
22660;8;8;12;12;36
2415;0;7;7;7;7
32881;7;7;7;7;7
33816;0;6;19;19;29
2561;0;5;5;12;31
26879;1;4;4;38;76
34357;4;4;4;11;17
2715;3;4;4;4;24
37025;3;3;3;3;3
36158;3;3;7;17;17
2869;3;3;3;3;3
2126;0;2;8;8;27
31914;0;0;0;10;71
26777;0;0;0;34;120
365;0;0;0;9;32
36946;0;0;0;0;0
34373;0;0;2;11;21
37064;0;0;0;28;28
1314;0;0;0;0;29
2560;0;0;0;39;73
2770;0;0;7;31;31
2166;0;0;0;0;0
3049;0;0;0;17;43
26594;0;0;0;2;16
3020;0;0;0;32;37
2309;0;0;0;0;29
1919;0;0;0;0;0
26578;0;0;0;0;0
35842;0;0;0;27;29
2676;0;0;7;10;10
38099;0;0;0;0;0
32947;0;0;4;6;12
2117;0;0;0;0;1
36961;0;0;0;0;0
2475;0;0;0;28;48
33534;0;0;0;0;0
2774;0;0;7;26;49
33471;12;38;47;47;70
2772;12;37;46;57;77
33610;15;36;45;65;65
33614;15;27;53;71;102
38042;22;26;26;26;26
36467;2;24;24;75;90
9387;14;24;30;56;67
19756;18;23;23;33;33
27302;22;22;30;40;62
28836;10;20;21;58;72
29654;10;16;29;30;50
2862;7;15;15;15;44
36611;1;14;14;14;14
11271;4;13;13;15;17
32337;2;13;25;63;66
1823;0;12;12;16;20
2868;11;12;16;16;19
2549;0;10;10;10;10
30278;3;10;10;10;10
35386;0;9;9;20;43
33052;6;9;15;15;48
2632;9;9;9;9;9
33016;8;8;8;8;97
28830;0;8;9;53;85
2207;0;6;19;19;22
27431;0;6;6;9;16
2730;5;5;5;53;67
36854;0;2;2;2;2
2554;0;1;1;9;19
26570;0;1;9;9;26
26142;1;1;10;10;33
34557;0;0;0;45;125
2761;0;0;0;13;20
5184;0;0;4;18;50
34593;0;0;7;7;39
28692;0;0;6;40;44
2767;0;0;23;23;23
2390;0;0;0;14;14
2755;0;0;0;13;21
2075;0;0;0;0;6
2076;0;0;0;0;15
2281;0;0;0;0;23
36288;0;0;0;0;0
20677;0;0;0;0;18
36160;0;0;0;12;97
13370;0;0;5;5;8
19709;0;0;0;0;19
24896;0;0;0;48;81
36458;0;0;0;41;98
36476;0;0;0;0;0
36474;0;0;0;41;44
28710;0;0;6;29;41
3013;0;0;0;0;7
2612;0;0;0;0;0
32879;0;0;0;29;37
32874;0;0;10;17;27
35711;0;0;0;66;79
32338;0;0;5;68;68
34354;1;27;32;32;32
27497;12;27;36;41;89
30030;12;26;33;33;33
28807;0;25;51;136;136
2856;11;20;35;45;57
33457;0;19;19;19;31
36802;4;18;23;28;32
34604;0;17;32;79;80
38314;16;16;16;16;16
2553;12;15;22;44;44
34254;13;14;14;60;106
32997;13;13;13;26;50
2275;0;10;18;18;25
34605;0;10;10;10;10
2765;0;9;9;9;9
32870;0;8;8;21;28
2734;8;8;8;8;8
2468;0;6;6;6;11
36968;5;5;5;5;5
2359;0;5;5;6;11
32915;0;5;12;12;27
28707;3;4;4;19;19
37687;4;4;4;4;4
32866;0;4;4;4;4
27556;0;4;13;64;116
19437;0;2;10;10;17
36696;0;2;2;9;9
37518;0;0;0;0;0
37577;0;0;0;0;0
